"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"1","","0","Product Filtering and Sorting","0","0","Sort products A to Z","0"
"1","","0","Shopping Cart","0","0","Cart total matches sum of individual product prices","0"
"1","","0","Navigation Menu","0","0","Navigation menu opens successfully","0"
"1","","0","Navigation Menu","0","0","QR code scanner opens from navigation menu","0"
"4","","0","User Authentication","0","0","Login with multiple user types","0"
"1","","0","Navigation Menu","0","0","Geo location opens from navigation menu","0"
"1","","0","User Authentication","0","0","Invalid login with wrong password shows error","0"
"1","","0","Shopping Cart","0","0","Remove a product from the products page","0"
"1","","0","Product Filtering and Sorting","0","0","Sort products by price high to low","0"
"1","","0","Shopping Cart","0","0","Reset app state clears the cart","0"
"1","","0","Navigation Menu","0","0","User can logout via navigation menu","0"
"1","","0","Product Filtering and Sorting","0","0","Toggle product list view","0"
"1","","0","Navbar functionality","0","0","Verify User is able to open the qr scanner","0"
"1","","0","End-to-End Purchase Flow","0","0","Complete purchase flow from login to order confirmation","0"
"1","","0","Shopping Cart","0","0","Add single product and verify cart badge updates","0"
"1","","0","Navbar functionality","0","0","Valid logout","0"
"1","","0","Product Filtering and Sorting","0","0","Sort products by price low to high","0"
"1","","0","Product Filtering and Sorting","0","0","Sort products Z to A","0"
"1","","0","Product Filtering and Sorting","0","0","Cancel sort dialog returns to products page","0"
"1","","0","Navbar functionality","0","0","Verify User is able to navigating to about webpage","0"
"1","","0","Navbar functionality","0","0","Verify User is able to handle maps","0"
"1","","0","Shopping Cart","0","0","Checkout button navigates to address page","0"
"1","","0","Shopping Cart","0","0","Remove a product from within the cart","0"
"1","","0","Shopping Cart","0","0","Add multiple different products to cart","0"
"1","","0","User Authentication","0","0","Valid login with standard user","0"
"1","","0","Shopping Cart","0","0","Continue shopping returns to products page","0"
