"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"  As a logged-in user
  I want to filter and sort the product list
  So that I can find products more easily","1581","Sort products A to Z","","Fri May 15 07:41:38 UTC 2026","broken","Fri May 15 07:41:40 UTC 2026","","Product Filtering and Sorting","Sort products A to Z",""
"  As a logged-in user
  I want to manage products in my cart
  So that I can review and proceed to checkout","1569","Cart total matches sum of individual product prices","","Fri May 15 07:41:30 UTC 2026","broken","Fri May 15 07:41:32 UTC 2026","","Shopping Cart","Cart total matches sum of individual product prices",""
"  As a logged-in user
  I want to access the navigation menu
  So that I can log out or use other menu features","1697","Navigation menu opens successfully","","Fri May 15 07:41:56 UTC 2026","broken","Fri May 15 07:41:57 UTC 2026","","Navigation Menu","Navigation menu opens successfully",""
"  As a logged-in user
  I want to access the navigation menu
  So that I can log out or use other menu features","1563","QR code scanner opens from navigation menu","","Fri May 15 07:41:59 UTC 2026","broken","Fri May 15 07:42:00 UTC 2026","","Navigation Menu","QR code scanner opens from navigation menu",""
"  As a mobile app user
  I want to log in with valid or invalid credentials
  So that I can access or be denied access appropriately","1563","Login with multiple user types","","Fri May 15 07:41:52 UTC 2026","broken","Fri May 15 07:41:54 UTC 2026","","User Authentication","Login with multiple user types",""
"  As a logged-in user
  I want to access the navigation menu
  So that I can log out or use other menu features","1582","Geo location opens from navigation menu","","Fri May 15 07:42:00 UTC 2026","broken","Fri May 15 07:42:02 UTC 2026","","Navigation Menu","Geo location opens from navigation menu",""
"  As a mobile app user
  I want to log in with valid or invalid credentials
  So that I can access or be denied access appropriately","1587","Invalid login with wrong password shows error","","Fri May 15 07:41:54 UTC 2026","broken","Fri May 15 07:41:56 UTC 2026","","User Authentication","Invalid login with wrong password shows error",""
"  As a logged-in user
  I want to manage products in my cart
  So that I can review and proceed to checkout","1582","Remove a product from the products page","","Fri May 15 07:41:27 UTC 2026","broken","Fri May 15 07:41:29 UTC 2026","","Shopping Cart","Remove a product from the products page",""
"  As a logged-in user
  I want to filter and sort the product list
  So that I can find products more easily","1579","Sort products by price high to low","","Fri May 15 07:41:43 UTC 2026","broken","Fri May 15 07:41:45 UTC 2026","","Product Filtering and Sorting","Sort products by price high to low",""
"  As a mobile app user
  I want to log in with valid or invalid credentials
  So that I can access or be denied access appropriately","1571","Login with multiple user types","","Fri May 15 07:41:49 UTC 2026","broken","Fri May 15 07:41:51 UTC 2026","","User Authentication","Login with multiple user types",""
"  As a logged-in user
  I want to manage products in my cart
  So that I can review and proceed to checkout","1565","Reset app state clears the cart","","Fri May 15 07:41:29 UTC 2026","broken","Fri May 15 07:41:30 UTC 2026","","Shopping Cart","Reset app state clears the cart",""
"  As a logged-in user
  I want to access the navigation menu
  So that I can log out or use other menu features","1568","User can logout via navigation menu","","Fri May 15 07:41:57 UTC 2026","broken","Fri May 15 07:41:59 UTC 2026","","Navigation Menu","User can logout via navigation menu",""
